Name,Frequency
,2906
[],498
'John,219
'William,148
'James,147
'Mr.,92
['John,57
'Robert,51
'Thomas,45
['William,44
'Lord,44
'George,43
['James,41
'Sir,38
'Alexander,37
Muir'],35
'Margaret,34
['Mr.,32
'David,29
Thomson',29
Gordon',25
'Ann,25
'Janet,24
Street',23
'Peter,22
Campbell',21
"""William",21
Stewart',21
'Mrs,21
'My,20
['Sir,20
['Lord,19
Wilson',19
"""John",19
'Captain,19
Smith',19
'Daniel,18
Brown',18
'Mary,18
['David,18
Gray',17
Street'],17
'Miss,16
'Society,16
Articles'],16
'Francis,14
William,14
'Jean,14
"'d""",14
'Andrew,14
'Thy,14
John,13
Wynd',13
Scott',13
'Hugh,13
['Robert,13
['Auld,13
'JOHN,12
['Thomas,12
['Wholesale,12
['George,12
Scotland',12
['Alexander,12
Wynd'],12
'Auld,12
['Margaret,12
'Elizabeth,12
Anderson',12
'O,11
"""Hugh",11
Bell',11
'Where,11
'Charles,11
['Libberton,11
'J.,11
Bauldie',11
'Fancy,11
['Old,11
['O,10
"""James",10
['My,10
'Joseph,10
'Bonnie,10
Miss,10
Cards',10
'Archibald,10
'Libberton,10
['Sweet,10
'JAMES,10
M',10
Robertson',9
Alexander,9
Young',9
'Ye,9
Bills',9
['Glasgow,9
['JOHN,9
Gilchrist',9
'Hankie,9
Miller',9
Johnston',9
Sir',9
Paterson',9
'Henry,9
Grant',9
'Poor,8
Boswell',8
['From,8
'Dear,8
Joe,8
Cards'],8
Dobie',8
Captain,8
'Whose,8
James,8
['Poor,8
"M'Donald""",8
'Brave,8
Dick',8
'Agnes,8
Park',8
'Allan,7
Baird',7
'Glasgow,7
'Great,7
'Uncle,7
Reid',7
'Matthew,7
'Samuel,7
Jail'],7
'Edinburgh,7
['Captain,7
Morrison',7
'Helen,7
'Hand,7
'High,7
John',7
Douglas',7
['Jim,7
'From,7
"""Thomas",7
"M'Kenzie""",7
Cameron',7
Books',7
'Donald,7
Graham',7
['Bonnie,6
'Than,6
Donald',6
'Willie,6
Sinclair',6
'Sarah,6
Duncan'],6
Campbell'],6
O'],6
['Mary,6
'Colin,6
Paterson'],6
'Messrs,6
Malaysia,6
'Old,6
['Fancy,6
Brown'],6
Thomas,6
Men'],6
Pankie,6
['Duncan,6
'Large,6
Thomson'],6
['Dear,6
Reekie'],6
'Let,6
The,6
Watson',6
Glen',6
Jeffrey'],6
Murray',6
God'],6
Muir',6
George,6
Christ'],6
John'],6
'Her,6
Stationer'],6
Forbes',6
M'],6
Years',5
'Patrick,5
Son',5
['Henry,5
['Society,5
Clark',5
Buchanan',5
Morgan',5
"M'Kay""",5
Mill',5
Stationer',5
M.,5
Mother',5
'Richard,5
"M'Leod""",5
'Marion,5
Simpson'],5
['Jesus,5
'Neil,5
'Till,5
'Riddle,5
Gibson',5
Walker',5
"M'Dougal""",5
Tait',5
Roy',5
M,5
['Peter,5
['Bobby,5
Hunter',5
'Walter,5
Nelly,5
Hamilton',5
['JAMES,5
['Ann,5
White',5
"""Margaret",5
Robertson'],5
'Honest,5
Esq',5
'St,5
Smith'],5
Skirving',5
'Maggie,5
Henderson',5
['Young,5
'Robin,5
Adam',5
['Jamie,5
Hare',5
Cunningham',5
Lord',5
'Good,5
['Mrs,5
['Great,5
'Song,5
Alexander',5
Weir',5
Craig',5
Hill',5
'Catherine,5
'Cupar,5
Pearson',5
['Miss,5
"""Robert",5
Lass',5
Christ',5
'Jim,5
['Janet,5
Dickson',5
Man',5
"M'Lean""",4
'Edward,4
Collins',4
Neilson',4
Moir',4
"M'Farlane""",4
'Bailie,4
Lang,4
Watt',4
"M'Millan""",4
Hermand',4
Hay',4
Barr',4
"""Charles",4
Braes'],4
GOD'],4
'Coal,4
'Geordie,4
Donaldson',4
"""George",4
'Duncan,4
Brown,4
Posting',4
Fraser',4
'Betty,4
Moore',4
"[""John",4
['Lords,4
Maxwell',4
'Drs,4
['Where,4
Paupers',4
James',4
Laddie',4
'Nelson,4
'Jesus,4
O',4
['Daft,4
"M'Guire""",4
"M'Teague""",4
Cameron'],4
KAY'],4
Pentland',4
'Tom,4
Hardie',4
Kerr',4
['Edinburgh,4
Jamie',4
Anderson'],4
['Till,4
Mitchell',4
'Love,4
King',4
Jamie'],4
Anderson,4
Lord'],4
Aytoun'],4
'Though,4
'Jenny,4
Meadowbank',4
Fells',4
God',4
Scot',4
Soul',4
Davidson',4
['Steam,4
Be',4
Moffat',4
['Johnny,4
'Leith,4
Martin',4
"""Peter",4
['J.,4
Ross',4
Stewart'],4
Death',4
Wallace',4
Peddie',4
Bayn',4
Gow',4
'Rob,4
Green',4
'Jane,4
['Francis,4
Reid'],4
Robert,4
'Must,4
"[""Robert",4
'Philip,4
Wilson'],4
Nick',4
Let,4
Muir,4
Meadowbank'],4
'Mathew,4
'Or,4
'Lady,4
['Charles,4
Monro',4
['Three,4
Lawrie',4
Orr',4
'Nine,4
"""Neil",4
Street,3
Mrs,3
'Four,3
Sandy',3
'Three,3
'Royal,3
"M'Laren""",3
'English,3
Pounds'],3
'Linen,3
Sandy'],3
Lady,3
['Good,3
Baillie,3
Mair',3
Don,3
Little',3
S',3
['Highland,3
Will'],3
'Thou,3
Whar,3
GOD',3
Nanny'],3
Wright'],3
['Frae,3
Lang',3
'Johnnie,3
'Dont,3
Reekie',3
MacDonald',3
United States,3
Leslie'],3
Keith',3
Wilkie',3
'Cottage,3
Burns,3
Tackle'],3
Rae',3
Franks',3
Adams',3
['Bonny,3
Was,3
Born',3
['King,3
Glasgow'],3
Beauty',3
['Between,3
Johnson'],3
Earl',3
Paul',3
Davie'],3
Queen'],3
'Barbara,3
My',3
Town',3
Very,3
Bill',3
Jock',3
'Half,3
['Cruel,3
['Catherine,3
"""Archibald",3
Miller'],3
"M'Cann""",3
['Hugh,3
Anne'],3
'Visit,3
Jane'],3
'Makes,3
Peel',3
'Alison,3
Rentoul',3
"M'Lachlan""",3
Smellie',3
['Jemmie,3
Forrest',3
O,3
['Willie,3
Connacher',3
Books'],3
'Nae,3
Provost'],3
['Royal,3
Polite',3
'Holy,3
Nanny',3
'Wood,3
['High,3
Bennie',3
Shaw,3
Printer'],3
['Thou,3
'Sweet,3
Succoth',3
'Tonald,3
'Daft,3
['Campsie,3
'Red,3
Beell',3
Jameson',3
'Cellar,3
Mary',3
Mathew',3
['Eight,3
Ritchie',3
'ROBERT,3
Lindsay',3
Lees',3
'Isobel,3
Toy',3
'Is,3
Jock'],3
'Major,3
['Whose,3
Bishop',3
Bly,3
['Make,3
Johnny',3
Williamson',3
Russell',3
Sharp',3
Lawson',3
Simpson',3
Water',3
Bessie,3
Adamson',3
'King,3
Philips',3
'Athol,3
Posting,3
"M'Kechnie""",3
'Whilst,3
Wife'],3
Folk',3
Finlay',3
Jesus'],3
Johnny'],3
Turner',3
['Brother,3
'Isabella,3
Hart',3
['Michael,3
Cain',3
Connell',3
Laurie',3
['Ten,3
Clerk',3
Justice,3
Robin,3
"M'Intyre""",3
Burke',3
Pitmilly',3
Guilty',3
Williams'],3
Johnstone',3
Innes',3
"M'Intosh""]",3
['Helen,3
'Cornelius,3
'Hill,3
Words'],3
William',3
['Her,3
Allan'],3
Who',3
Whisky',3
Neil',3
Articles',3
['Father,3
Place',3
['Joseph,3
"'d""]",3
Nature',3
Castle'],3
['Loch,3
['Dame,3
['Brave,3
['Argyle,3
Grey',3
Good',3
'Kind,3
Jeffrey',3
Andrew,3
'Michael,3
Wright',3
Hannah',3
"M'Intosh""",3
Begbie',3
Black',3
'Jessie,3
Taylor',3
Boat,3
Donald'],3
Maids'],3
Almighty'],3
['Tom,3
'Hellish,3
'Young,3
['Provost,3
Square',3
G.,3
Land',3
Dougal',3
"M'Taggart""",3
Sutherland',3
Gillies'],3
British',3
Boyle',3
Gentles',3
Love',3
Fraser'],3
Auld'],3
'Paisley,3
Simon,3
Navvigator,3
"M'Kay""]",3
Waddell',3
Mackenzie'],3
Dashing,3
Stevenson',3
"[""William",3
Baillie',3
A.,3
'Mark,3
'Doctor,3
['Almighty,3
Kenny,3
'Slaine,3
Wylie',3
Glen'],3
Knox',3
'Joe,3
Swan',2
Colonel,2
Quondam,2
Houston',2
'Thos,2
['Gizzie,2
Was'],2
Benson'],2
Spittal',2
Grieve'],2
Miles',2
Bridge',2
Poet',2
'Virtuous,2
Brodie',2
'Jas,2
Tax'],2
McDonald',2
Riddell',2
'Income,2
Duke',2
Urquhart',2
Bailie',2
Moncrieff'],2
Pringle,2
Malice,2
Frazer',2
['Leith,2
"M'Kean""",2
'Bristo,2
Rule,2
'Heavens,2
Mitchel',2
Braes',2
Dundee,2
Past,2
Ten',2
['Says,2
Sherdan'],2
Is',2
'Rich,2
Months',2
['Large,2
Seventeen'],2
Ogilvie',2
['Barney,2
Wells',2
Ane',2
Mary'],2
Tamson',2
'Mill,2
Robb',2
Meggy'],2
Years,2
Home,2
Fanny',2
Clydesdale',2
['How,2
Boy,2
Fleming'],2
Prizes',2
'Tamas,2
Henpeck',2
Bay,2
True,2
Orange,2
Mauritania,2
'Glen,2
'Folks,2
'Frederick,2
Mary,2
Daniel'],2
['Scots,2
Bell'],2
Winkworth',2
'Bill,2
House',2
'Head,2
['Wales,2
['Park,2
Francis,2
Jamieson',2
JOHN,2
Cowan',2
'Will,2
['Or,2
Bill'],2
'Scots,2
'Home,2
['Quoth,2
"[""Mr.",2
Are',2
Forbes'],2
'Craigie,2
Henry'],2
Tory'],2
Winds',2
'Blood,2
['Whole,2
Thou',2
'WILLIAM,2
'Chimney,2
['Robin,2
Paisley',2
'Marble,2
['Gypsey,2
Wind'],2
'Robt,2
'Twa,2
Breast',2
"M'Nicol""",2
Wi',2
Times'],2
Elphinstone,2
Grierson',2
Gordons',2
Hon',2
Wife',2
['Round,2
Charlie,2
'Gordon,2
Spence',2
'Wants,2
Treated',2
Iceland,2
'Whan,2
['Lucky,2
Collingwood,2
['Lurgan,2
'Place,2
"[""Barney",2
London'],2
Fate',2
Birks',2
Aytoun',2
Herald',2
'Sandy,2
['Against,2
Dobie'],2
'Lander,2
Allison',2
Richardson',2
Graham'],2
Rooms',2
Betty,2
Douglas'],2
['Jane,2
'North,2
'Nay,2
Corbet',2
Dunn',2
Queen',2
J.',2
"""Agnes",2
Master'],2
Smyth'],2
Fiend',2
['Master,2
SIR',2
['Mark,2
Robie'],2
Dow'],2
"""Roderick",2
Blackwood',2
Hall'],2
Betty',2
'Honnest,2
Myers',2
Doolan',2
Eyes',2
Mayors',2
['Barbarous,2
Murder',2
Men',2
Bryce',2
French'],2
Six,2
All,2
Gentleman',2
Moodie',2
Light',2
"M'Pherson""",2
Lords',2
Authors',2
['Jannie,2
'Wi,2
Chronicle'],2
Tho'],2
"M'Allum""",2
Merchant',2
'Cousin,2
Pennecuik',2
RANKINE',2
Lamond',2
Young,2
Boyd',2
Blaikie',2
'Wee,2
"""Bernard",2
Gordon,2
'Almighty,2
Hope',2
['Bloody,2
Nichol',2
'Just,2
Mathie',2
Circuit'],2
Byrne'],2
['Lady,2
['Dainty,2
['Symon,2
'S,2
Fulton',2
Malcolm',2
Armstrong',2
W.,2
'Cathrine,2
Gillan',2
Mooney',2
Burns'],2
'Loyal,2
Jackson',2
'Maggy,2
St.'],2
Gordon'],2
Bisland',2
Jacks',2
['Picture,2
"""Andrew",2
'Pra,2
'Pious,2
Shentlemen',2
Bodkin',2
'Throw,2
Night',2
Murdoch',2
Fitzclarence',2
'Laulan,2
Pankie',2
['Though,2
'Throu,2
Murray-Land',2
Gray'],2
'Had,2
['Wemyss,2
Louns',2
Rothwell',2
Hall,2
Bridge'],2
Misery'],2
Moncrieff',2
Bills'],2
'God,2
Grant'],2
'Elspeth,2
Andrew',2
['Nelly,2
R.'],2
'Peggy,2
['Divine,2
All'],2
Davie',2
['Isabel,2
'Sandie,2
['Donald,2
'Trous,2
'Frae,2
Toy'],2
['Mike,2
Higgins',2
Mudie',2
'Blythe,2
Jail',2
"""Walter",2
Comus'],2
"M'Aulay""",2
['Black,2
Back,2
Vernon',2
Potts'],2
['Blair,2
'Abraham,2
Logie'],2
Haig'],2
Pound',2
Again',2
Christian,2
Fokoburss'],2
'DAVID,2
Gate',2
Fife',2
"M'clatchy""",2
['Highway,2
'Yet,2
Watson'],2
Robbery',2
['Song,2
'Sick,2
'Linton,2
Trees'],2
Whitehill',2
['Who,2
'Freebairn,2
'Green,2
Sherry',2
['Mathew,2
['Jamaica,2
Myles',2
'Sally,2
['Sure,2
Mackree'],2
Dunlop',2
Mackree',2
"[""James",2
"M'Call""",2
Harley',2
['Dan,2
Dougherty',2
Donelly',2
Denham',2
Scotland'],2
Wood',2
Town,2
Standard,2
"M'Naught""",2
Roy,2
Katrine',2
Bearer,2
'Divid,2
Haggart',2
CAMPBELL',2
Desperandum',2
'Te,2
Printed',2
'Arthur,2
Forsyth',2
Grass',2
Beveridge',2
"M'Gowan""",2
'Kathleen,2
Gunn',2
Buchan'],2
Horn',2
"'t""",2
Kelly',2
"M'Garvie""]",2
Gemmill',2
TENNANT',2
"M'Williams""",2
Fire',2
['Rose,2
'Be,2
Thamsons,2
Renton',2
'Queen,2
Fleming',2
['Country,2
'Cruel,2
Heart'],2
'Quoth,2
Pitmilly'],2
Sim',2
'Wm,2
['Ye,2
Marshall',2
Shaw',2
S.',2
Ferguson',2
Glasgow,2
ANDERSON',2
Courtship,2
Bane',2
Walter,2
'Lords,2
Paterson,2
Bonny,2
Arniel',2
Chaplain',2
Sannie'],2
['Baillie,2
Murray'],2
Come',2
Bairns,2
Dundas',2
Pittin',2
Drummond',2
'Next,2
Committee,2
Honyman',2
Philpot',2
Bold'],2
Jo'],2
'Simon,2
Jones',2
Mill'],2
'Eldest,2
Boag',2
Warden',2
['Seven,2
'Picture,2
"""J.",2
Arbuckle',2
Glendinning',2
['Donal,2
McKenzie',2
Evening,2
Geddes'],2
Dalrymple',2
More',2
One'],2
Grahame',2
Glenn',2
Would',2
Livingstone',2
German',2
['Jean,2
['Simple,2
Boat',2
Dame',2
White'],2
Edinburgh',2
'Paid,2
Law',2
'Baron,2
Hume'],2
Or'],2
Pennycook'],2
['Satyres,2
'Guilty,2
Baxter',2
['St,2
Neil'],2
Milne',2
Green'],2
'Dennis,2
'Brown,2
Knocks',2
Logan',2
'Burke,2
Annie,2
Raeburn',2
Point',2
'Jamie,2
Burke'],2
Ward'],2
['Youghal,2
Emond',2
Broggan'],2
Purves',2
['So,2
'Dublin,2
Lee',2
Clackson',2
Connal',2
Scott'],2
Fitzgerald',2
Millar',2
Magee'],2
Cuthbert',2
'Lewie,2
Upwards',2
Bawn',2
"[""Margaret",2
Moon',2
"M'Kenna""",2
['Dumbarton,2
Me'],2
['Jeanie,2
Montgomery',2
Stand'],2
'Catharine,2
Bonnie,2
Russell'],2
['Both,2
'Joan,2
'Signior,2
'Doctors,2
Thief',2
['Euphemia,2
"O'Connell""",2
"""Dan",2
Rennie',2
Boat'],2
Reason',2
'Saw,2
'Meg,2
Lamont'],2
Fortune',2
Farquharson',2
Printer,2
"""Alexander",2
Allan',2
'Farewell,2
Bertie',2
Robertson,2
'Your,2
'Horse,2
H.',2
['County,2
Aberdeen'],2
'Forty,2
Tamson'],2
Gardner',2
Pettigrew',2
['Andrew,2
"M'Leod""]",2
Song'],2
['Orphan,2
Heads',2
"""Murdo",2
Wond',2
