,name,time
1059,John Muir,35
825,Libberton Wynd,20
3249,Society Articles,19
3393,Fancy Cards,15
3294,John Thomson,14
2548,Jim Bauldie,11
508,Wholesale Stationer,10
1021,James Wilson,10
2400,High Street,9
91,Jesus Christ,9
1439,John Smith,9
1823,Auld Reekie,8
2937,Hand Bills,8
632,Sir John,7
317,Lord Meadowbank,7
114,Francis Jeffrey,7
2323,Daft Jamie,7
2101,David Dobie,7
2094,Bonnie Scotland,7
2393,William Robertson,7
3324,Uncle Joe Nanny,6
2666,Margaret Paterson,6
1791,Colin Pentland,5
1728,Thomas Duncan,5
2282,Song Books,5
2883,Riddle Johnny,5
777,John Reid,5
1542,Lord Hermand,5
1408,John Campbell,5
104,James Brown,5
526,John Anderson,5
2960,Nelson Street,5
1171,Lord Pitmilly,5
2667,Dear Mother,4
3237,Coal Jock,4
1472,Almighty God,4
2114,John Brown,4
2407,Large Posting,4
1467,Ye Paupers,4
3217,Leith Wynd,4
2447,James Young,4
904,Robin Roy,4
1783,Sir Alexander Boswell,4
2371,James Thomson,4
580,Campsie Fells,4
1025,James Gilchrist,4
3003,Hankie Pankie Lass,4
996,JAMES KAY,4
172,Picture Books,4
1442,O Lord,4
1974,Alexander White,3
2954,George M'Taggart,3
3270,Ann Gray,3
3347,Good GOD,3
2742,Large Posting Bills,3
1210,William Cameron,3
177,Sweet Seventeen,3
539,Must Tackle,3
1201,Sir A. Boswell,3
3080,John Clark,3
1380,Dear Wife,3
2105,Jemmie Forrest,3
2184,Robert M'Intosh,3
577,Auld Lang Syne,3
3287,John Grant,3
239,George Stewart,3
3289,James Campbell,3
3316,George Street,3
2840,Robert Scott,3
2138,Jessie Henderson,3
662,William Johnston,3
213,William Rentoul,3
1274,Duncan Fraser,3
657,Nae Provost,3
3028,Robert Simpson,3
458,John Stewart,3
2305,Cellar Park,3
706,Peter Connacher,3
3177,Old Maids,3
3256,John Sinclair,3
1665,John Wilson,3
1353,Steam Boat,3
154,John Anderson My Jo,3
3240,Mark Dow,3
3291,William Hare,3
730,From GOD,3
0,William M'Kay,3
1878,John Gordon,3
1532,Agnes Dougal,3
310,Visit Nelly Bly Very Polite,3
1141,James Reid,3
257,Cottage Whar Burns Was Born,3
1122,Bobby Thomson,3
316,Mrs S.,3
3122,Catherine Wright,3
886,William Gordon,3
1839,Hugh M'Dougal,3
1796,William Peddie,3
1092,John Barr,3
402,James Watson,3
2590,Old Nick,3
2050,George Campbell,3
943,Jane Skirving,3
2593,Joe Dashing Navvigator Auld,3
2499,James Bell,3
2579,Hankie Pankie,3
1830,God Almighty,3
1524,William Baird,3
70,Cupar Fife,3
1022,William Paterson,3
3,James Gordon,3
393,Sir Alexander,3
1023,Lord Gillies,3
1161,David Thomson,3
2037,Dan O'Connell,2
3002,Margaret Dickson,2
489,Peter Paterson Bonny Nelly Brown Lilly Dale Forbies,2
3161,Joseph Hume,2
1569,William Mitchel,2
1596,Drs Renton,2
2018,JAMES CUNNINGHAM,2
2017,Mr. Robert,2
1400,ROBERT TENNANT,2
537,Simple Simon German,2
3001,Janet Brown,2
2961,Margaret Henderson,2
1435,Francis Gemmill,2
2034,Mr. H.,2
3167,Divid Dobie,2
1012,Mr. Pennecuik,2
2984,William Rae,2
301,Auld Robin Gray,2
2029,Janet Wilkie,2
1418,JOHN KEAN,2
2180,Laulan Louns,2
1440,Donal McKenzie,2
313,Honnest Betty,2
312,Symon Byrne,2
2967,Dan Mackree,2
337,Park Glasgow Courtship Bane,2
2053,William Thomson,2
3006,Thomas Potts,2
338,Mr. Miller,2
2124,Hugh M'Intosh,2
1533,Charles M'Kay,2
2120,John Moncur,2
435,George Morrison,2
1531,Kenneth M'Kenzie,2
2111,Mary Ann,2
1496,John Armstrong,2
3094,Half Past Ten,2
1502,William Buchanan,2
1505,John Green,2
2084,Linen Company,2
1509,John Toy,2
1521,Peter Gray,2
395,Tamas Henpeck,2
1519,Edinburgh Jail,2
1515,Mary Little,2
2089,Jamie Aytoun,2
3041,Though Broggan,2
3110,Lord Mayors,2
368,Mrs Skirving,2
352,Sir William Forbes,2
1448,Ann Hunter,2
340,Eldest Son,2
342,David Bertie,2
346,James Innes,2
2054,William Grieve,2
3025,William M'Kechnie,2
1459,George Smith,2
463,Jamie Raeburn,2
1546,From French,2
353,Trous Donald,2
3126,William M'Teague,2
462,Nil Desperandum,2
3125,Mrs Franks,2
2065,Daniel Grant,2
2127,Robert Wilson,2
448,John Buchanan,2
2188,Margaret Smith,2
2873,James Orr,2
540,Mr. Muir,2
1110,Youghal Ward,2
877,William Begbie,2
2650,Rose British,2
2662,Donald Frazer,2
2664,Bonnie Bessie Lee,2
1132,Edinburgh Town The Standard Bearer Come,2
1140,Neil M'Lean,2
850,George Thomson,2
2415,John Thamsons Bairns Pittin,2
2681,Mr. Murdoch,2
1151,Francis Cain,2
834,Jannie Beell,2
829,James Glen,2
2696,Pra Shentlemen,2
826,Euphemia Lawson,2
2397,Thomas Pink,2
1173,Isabella Kerr,2
1177,Gypsey Johnson,2
801,Wants Words,2
799,William M'Garvie,2
2379,Lord Succoth,2
2374,James Ewing,2
1190,Thomas Grierson,2
1200,James Dick,2
884,Norah Magee,2
892,Alexander Gordons,2
1212,George Davidson,2
1106,William Moffat,2
2532,James Stewart,2
2533,Old Aberdeen,2
1019,John Craig,2
2513,Wholesale Toy,2
2561,Lurgan Braes,2
2564,John Geddes,2
965,John Donaldson,2
2576,Wales Mary Queen,2
960,Tonald Bayn,2
1057,Willie Mathew,2
955,James Calder,2
2582,George Leslie,2
2583,Frae Fokoburss,2
951,John Bull,2
2589,Annie Laurie,2
1066,Old Men,2
2480,John Boyle,2
932,Thomas Weir,2
1074,Margaret Ritchie,2
2610,Alexander Robertson,2
915,Wemyss Hall Gate,2
900,James Jacks,2
1102,Edinburgh Town,2
1208,John M'Millan,2
767,William Muir,2
542,Loch Katrine,2
1309,Mr. Knapp—and,2
2865,Bobby Peel,2
2872,John Muir Printer,2
633,Margaret Warden,2
2253,Loch Carron,2
2251,Thomas Vernon,2
2892,Mr. Campbell,2
2902,Daniel Hunter,2
2903,Benjamin Moir,2
598,Mr. Panton,2
1354,Gizzie Miller,2
1358,Provost Spittal,2
1360,William Johnstone,2
2222,Blair Logie,2
1363,William M,2
1366,Lord Moncrieff,2
583,Helen McDougall,2
2926,Mr. Wyeems,2
2928,Auld Reikie,2
2935,James Fleming,2
1386,Mr. Thomas George Knapp,2
2200,Neil Gow,2
546,Joseph Richardson,2
544,William Mitchell,2
651,Mr. Bell,2
1296,Mr. Lord,2
2356,Joseph Philpot,2
2283,Mr. Maxwell,2
2752,Alexander Denham,2
1214,Blythe Comus,2
2756,Frae Sannie,2
2759,William Gilchrist,2
2763,William Higgins,2
752,John Robb,2
1224,David Wylie,2
2768,Lord Medwyn,2
1235,Though Aytoun,2
2788,Wot Cher,2
1251,Throu Murray-Land,2
713,Henry Pennycook,2
711,John M. Williams,2
2313,Allan Mair,2
1264,Allan Murchie,2
1268,John Roy Stewart,2
696,Mr. Morrison,2
694,David Glen,2
1273,Dont Let Us Be,2
686,Andrew Dawson,2
2294,Barney M'Guire,2
2828,Highland Mary,2
2290,James Lang,2
3175,Cupar Jail,2
1425,Mr. J,2
182,Margaret Mooney,2
1921,Bristo Port,2
1734,Glasgow Upwards,2
218,Doctors Adams,2
3279,Hugh Bisland,2
33,William Brown,2
1877,Sir Robie,2
255,Lewie Gordon,2
3403,Song Committee Bold,2
1940,James Kenny Stewart,2
3246,William Yeatts,2
1658,Murdo M'Kenzie,2
58,David Scott,2
211,Duncan Gray,2
1679,James Paterson,2
1799,John Waddell,2
1854,James Park,2
3272,JOHN CUBIE,2
1943,James Anderson,2
