City,Frequency
,2659
Edinburgh,441
Glasgow,371
nan,269
Of,255
Man,159
March,122
Dundee,99
Mary,89
London,81
Paisley,66
Young,52
Campbell,48
Police,46
Green,45
George,43
Highland,41
Paterson,40
Stirling,39
Aberdeen,38
Burke,34
Bell,34
Greenock,33
Wilson,30
Perth,30
Ayr,30
Murray,29
Inverness,26
Rome,26
Most,25
David,24
Dublin,24
Born,24
Duncan,22
Graham,22
Union,21
Bridgeton,21
Much,20
Hamilton,20
Providence,20
Bar,19
Johnston,19
Douglas,19
Anderson,18
Sandy,18
Dumbarton,17
York,17
Falkirk,16
Waterloo,16
Caledonia,15
Belfast,15
Liberty,15
Along,15
Pen,14
Airdrie,14
Wright,14
Renfrew,14
Bear,14
Taylor,13
Spring,13
Mitchell,13
Elizabeth,13
Wedding,13
Cork,12
Tak,12
Montrose,11
Bay,11
Holland,11
Ferguson,11
Nelson,11
Johnstone,11
Buchanan,10
Musselburgh,10
Preston,10
Nancy,9
Henderson,9
Roman,9
West,8
Walker,8
Peer,8
Kilmarnock,8
University,8
Sake,8
New,8
Kyle,8
Wellington,8
Martin,8
Paris,8
Logan,7
Tralee,7
Oxford,7
Bonny,7
Newington,7
Moore,7
End,7
Eden,7
Montgomery,7
Neath,7
Carlisle,7
Johnson,7
Reading,7
Venice,7
Sale,7
Kirkcaldy,7
Newcastle,7
Lucknow,7
Sydney,6
Mackay,6
Arrah,6
Roy,6
Cooper,6
Edina,6
Swords,6
Lyon,6
Stuart,6
Marshall,6
Wylie,5
Alma,5
Liverpool,5
Charlotte,5
Kent,5
Barrhead,5
Vulcan,5
Manchester,5
Moss,5
Limerick,5
Carmichael,5
Jerusalem,5
Ceres,5
Foster,5
Boo,5
Amos,5
Ho,5
Chester,5
Rutherglen,5
Blackwood,5
Dunfermline,5
Garland,5
Kirkintilloch,5
Davie,5
Livingstone,5
Best,4
Durham,4
Paradise,4
Gardner,4
Orkney,4
Hercules,4
Newry,4
Surprise,4
Brunswick,4
Same,4
Alloa,4
Napier,4
Opportunity,4
Epsom,4
Wa,4
Salt,4
Marks,4
Gay,4
Maitland,4
Blantyre,4
Lod,4
Blyth,4
Derby,4
Helena,4
Moorhead,4
Bathgate,4
Grangemouth,4
Goes,4
Grove,3
Harper,3
Marlborough,3
Lamont,3
Dover,3
Dale,3
Van,3
Brighton,3
Savage,3
Baltimore,3
Stanley,3
Bridge,3
Old,3
Stafford,3
Mason,3
Liberal,3
Hanover,3
Ans,3
Arbroath,3
Lincoln,3
Coatbridge,3
Roses,3
Gladstone,3
Gilbert,3
Castlereagh,3
Westminster,3
Lisbon,3
Balfour,3
Birmingham,3
Derry,3
Brisbane,3
Dyer,3
Geneva,3
Paramatta,3
Irvine,3
Prospect,3
Smithfield,3
Pace,3
Kilkenny,3
Tara,3
Borne,3
Renton,3
Sterling,3
Edinburg,3
Richardson,3
Bowie,3
Bra,3
Troy,3
Peterhead,3
Shetland,3
Victoria,3
Balaklava,3
Cumberland,3
Newton,2
Nottingham,2
Kirkwood,2
Dudley,2
Badger,2
Nice,2
Worms,2
Jupiter,2
Drogheda,2
Orleans,2
Cranston,2
Zion,2
Armadale,2
Blackburn,2
Caldwell,2
Lennox,2
Navan,2
Defiance,2
Mon,2
Moscow,2
Livingston,2
Columbus,2
Humble,2
Warren,2
Whitehaven,2
Jericho,2
Lier,2
Un,2
Elgin,2
Windsor,2
Draper,2
Pop,2
Stockbridge,2
Eagle,2
Morton,2
East,2
Boston,2
Exeter,2
Clifton,2
Harvey,2
Date,2
Athens,2
Fountain,2
Springs,2
Bellevue,2
Flint,2
Groves,2
Fleet,2
Albert,2
Orange,2
Broomfield,2
Kendal,2
Redding,2
Prince,2
Cairns,2
Sunderland,2
Cochrane,2
Salisbury,2
Melville,2
Munster,2
Murphy,2
Bridgend,2
Gose,2
Philadelphia,2
Huy,2
Bangor,2
CHOr,2
Kilbride,2
Jos,2
Rogers,2
Bridgetown,2
Sim,2
Ewing,2
Wrexham,1
Blythe,1
High,1
Columbia,1
Slough,1
Royal,1
Lodi,1
Norland,1
Sparks,1
Cambridge,1
GIen,1
Westport,1
Largo,1
Pearl,1
Mons,1
Terrace,1
Norman,1
Oak,1
Castle,1
Carnegie,1
Hannibal,1
Radcliffe,1
Bor,1
Maryborough,1
Port,1
Williamstown,1
Wombwell,1
Hill,1
Chelsea,1
Mori,1
Runcorn,1
Dome,1
Ajax,1
"Bolivia, Plurinational State of",1
Middleton,1
Norfolk,1
Kearney,1
Southport,1
GlasGow,1
Ramsey,1
Yarmouth,1
Warwick,1
Camden,1
Temple,1
Hastings,1
Ode,1
Cedar,1
Workington,1
Euclid,1
Ware,1
Grahamstown,1
Retreat,1
Halden,1
Hutchinson,1
Houston,1
Easton,1
Marlow,1
Iona,1
Dixon,1
Dickinson,1
Baldwin,1
Butterworth,1
Clayton,1
EWing,1
Park,1
Reston,1
Seoul,1
Augusta,1
Cornelius,1
Swinton,1
Albany,1
Crystal,1
Jasper,1
Nan,1
Lubin,1
Ennis,1
Winchester,1
Deer,1
Carney,1
Hatton,1
Essex,1
Prichard,1
Sheffield,1
Eastwood,1
Highlands,1
Fullerton,1
North,1
Alexandria,1
Leander,1
Hale,1
Carolina,1
Wer,1
Holden,1
Brockville,1
Borodino,1
Barnet,1
Dundalk,1
Mansfield,1
Hermitage,1
Eagan,1
Sherman,1
Anthem,1
Montmorency,1
Navarre,1
Huntley,1
Evans,1
Bradford,1
Tucker,1
Buckley,1
Newport,1
Frederick,1
Sidney,1
Nashville,1
Telford,1
Bordeaux,1
Leigh,1
Parker,1
Fordon,1
Canterbury,1
Constantine,1
Male,1
Sutton,1
Halle,1
Meridian,1
Melbourne,1
Soissons,1
Bloomfield,1
Stratford,1
Buy,1
Cumbernauld,1
Mulgrave,1
Davis,1
Gloucester,1
McLean,1
Kirkland,1
Collingwood,1
Erskine,1
Algiers,1
Khartoum,1
Virginia,1
Flagstaff,1
Lawrence,1
Thornton,1
Daur,1
CAMpbell,1
Valenciennes,1
Deeside,1
Buffalo,1
Redford,1
Eugene,1
Gravesend,1
Beersheba,1
Dorchester,1
Meerut,1
Prestwick,1
Amsterdam,1
Tamworth,1
Brak,1
Allen,1
Annandale,1
Portsmouth,1
MARy,1
Maun,1
Richmond,1
Fredericksburg,1
Chatham,1
Converse,1
Antrim,1
Pelham,1
Surrey,1
Patterson,1
Odessa,1
Plymouth,1
Tangier,1
Lancaster,1
Gent,1
Garibaldi,1
Athlone,1
Lorain,1
Plantation,1
Pekin,1
Chelmsford,1
Sunnyside,1
Bender,1
Smyrna,1
Asia,1
Beacon,1
Rye,1
Morley,1
Beaconsfield,1
MACAu,1
Rotterdam,1
Darien,1
Lice,1
Suez,1
Glossop,1
Cheshire,1
Cairo,1
Dartmouth,1
Ipswich,1
Mecca,1
Damietta,1
Damascus,1
Aleppo,1
Cadiz,1
Calais,1
Aurora,1
Milledgeville,1
Berlin,1
