0,title,selfmark,PlainTitle,subject,year,name,cities,countries,continent
74459405,Praise of the weavers - Ry.III.a.10(78),Ry.III.a.10(78),Praise of the weavers,,,"['Geordie Malice Brithel', 'Bold Gordie', 'Geordie Malice Swore', 'John Scot', 'Geordie Gordon', 'Meikle Mon']","Wedding, Murray, Elgin","['United States', 'Germany']","['Europe', 'North America']"
74459849,"Slippy Stane', 'The Scotch Brigade', 'Somewhere the Sun is Shining', 'Nancy Whisky', and 'The Nameless Lassie - RB.m.143(125)",RB.m.143(125),"Slippy Stane', 'The Scotch Brigade', 'Somewhere the Sun is Shining', 'Nancy Whisky', and 'The Nameless Lassie",ballad,1880-1900,['Till Nancy'],"Nancy, Dublin, Dundee","['United States', 'France', 'Egypt', 'South Africa']","['Africa', 'Europe', 'North America']"
74572646,Proper new ballad in praise of the gallant weavers - Ry.III.a.10(23),Ry.III.a.10(23),Proper new ballad in praise of the gallant weavers,,,[],Of,['Turkey'],['Asia']
74458970,Rise up noble Britons - RB.m.169(109),RB.m.169(109),Rise up noble Britons,ballad,1857-1858,['Loch Carron'],"Renfrew, Aberdeen, Glasgow, Douglas, Balaklava","['United Kingdom', 'United States', 'Ireland', 'Ukraine', 'India']","['Europe', 'Asia', 'North America']"
74459015,"Rare new song, shewing the bravery of His Grace the Duke of Argile - Ry.III.a.10(86)",Ry.III.a.10(86),"Rare new song, shewing the bravery of His Grace the Duke of Argile",,,['Sir John Lake'],Mons,"['France', 'Spain', 'Belgium']",['Europe']
74459065,Battle of Inkermann - L.C.Fol.70(232),L.C.Fol.70(232),Battle of Inkermann,ballad,1857,[],Glasgow,"['United Kingdom', 'France', 'Russian Federation']",['Europe']
74459083,Bonnets o' blue - L.C.1269(253),L.C.1269(253),Bonnets o' blue,,,[],Caledonia,['United States'],['North America']
74459111,"Britain's triumph; or, The Dutch well dressed - ABS.10.203.1(29)ABS.10.203.01(29)",ABS.10.203.1(29)ABS.10.203.01(29),"Britain's triumph; or, The Dutch well dressed",,,['Let Holland'],"Liberty, Holland","['United States', 'France', 'Spain', 'United Kingdom']","['Europe', 'North America']"
74459254,Jamie Foyers - L.C.Fol.178A.2(80)/L.C.fol.178A.2(080),L.C.Fol.178A.2(80)/L.C.fol.178A.2(080),Jamie Foyers,ballad,1860-1880,"['Robert Perry', 'Baker Brown']",Along,"['Spain', 'India', 'France']","['Europe', 'Asia']"
74459269,Jockie's far awa - L.C.Fol.70(007),L.C.Fol.70(007),Jockie's far awa,,,['My Jockie'],,[],[]
74459293,Let me like a soldier fall - L.C.Fol.70(124),L.C.Fol.70(124),Let me like a soldier fall,,,[],Dundee,['South Africa'],['Africa']
74459312,Lowlands low - L.C.Fol.70(222),L.C.Fol.70(222),Lowlands low,,,[],Glasgow,['United Kingdom'],['Europe']
74459413,"Red, white and blue - L.C.Fol.178A.2(015)",L.C.Fol.178A.2(015),"Red, white and blue",,,[],Nelson,['New Zealand'],['Oceania']
74459415,"Rise up noble Britons, bundle an' Go - L.C.Fol.178A.2(109)",L.C.Fol.178A.2(109),"Rise up noble Britons, bundle an' Go",,,['Loch Carron'],"Renfrew, Aberdeen, Glasgow, Douglas, Balaklava","['United Kingdom', 'United States', 'Ireland', 'Ukraine', 'India']","['Europe', 'Asia', 'North America']"
74459420,Rodney's glory - L.C.Fol.70(244),L.C.Fol.70(244),Rodney's glory,,,"['Whilst Rodney', 'Old England']",,[],[]
74459435,"Scotland's stagnation! or, Where is all the money gone - L.C.Fol.178.A.2(100)",L.C.Fol.178.A.2(100),"Scotland's stagnation! or, Where is all the money gone",ballad,1854-1856,['Old Aberdeen'],Paisley,['United Kingdom'],['Europe']
74459484,Battle of Alma - RB.m.143(159),RB.m.143(159),Battle of Alma,ballad,1854,"['Lord Reglan', 'From Hlbernia']",Alma,"['Canada', 'United Kingdom', 'France', 'Russian Federation']","['Europe', 'North America']"
74459528,"Corsican humbled, or Bonaparte's disasters in Russia - L.C.Fol.74(27)",L.C.Fol.74(27),"Corsican humbled, or Bonaparte's disasters in Russia",,,['Within Siberis'],"Paris, Green, Borodino, Wellington, Moscow, Of","['Russian Federation', 'United States', 'Turkey']","['Europe', 'Asia', 'North America']"
74459539,Defence of Scotland - ABS.10.203.01(30),ABS.10.203.01(30),Defence of Scotland,,,[],,[],[]
74459555,"Evils of war or, The ruined family - L.C.Fol.178A.2(102)",L.C.Fol.178A.2(102),"Evils of war or, The ruined family",,,[],Odessa,['United States'],['North America']
74459594,Hungry army - L.C.fol.178A.2(054),L.C.fol.178A.2(054),Hungry army,,,[],"Chatham, Dublin","['Russian Federation', 'United States', 'United Kingdom', 'Turkey']","['Europe', 'Asia', 'North America']"
