74459405.txt,"Praise of the weavers - Ry.III.a.10(78)"
74459849.txt,"Slippy Stane', 'The Scotch Brigade', 'Somewhere the Sun is Shining', 'Nancy Whisky', and 'The Nameless Lassie - RB.m.143(125)"
74572646.txt,"Proper new ballad in praise of the gallant weavers - Ry.III.a.10(23)"
74458970.txt,"Rise up noble Britons - RB.m.169(109)"
74459015.txt,"Rare new song, shewing the bravery of His Grace the Duke of Argile - Ry.III.a.10(86)"
74459065.txt,"Battle of Inkermann - L.C.Fol.70(232)"
74459083.txt,"Bonnets o' blue - L.C.1269(253)"
74459111.txt,"Britain's triumph; or, The Dutch well dressed - ABS.10.203.1(29)ABS.10.203.01(29)"
74459254.txt,"Jamie Foyers - L.C.Fol.178A.2(80)/L.C.fol.178A.2(080)"
74459269.txt,"Jockie's far awa - L.C.Fol.70(007)"
74459293.txt,"Let me like a soldier fall - L.C.Fol.70(124)"
74459312.txt,"Lowlands low - L.C.Fol.70(222)"
74459413.txt,"Red, white and blue - L.C.Fol.178A.2(015)"
74459415.txt,"Rise up noble Britons, bundle an' Go - L.C.Fol.178A.2(109)"
74459420.txt,"Rodney's glory - L.C.Fol.70(244)"
74459435.txt,"Scotland's stagnation! or, Where is all the money gone - L.C.Fol.178.A.2(100)"
74459484.txt,"Battle of Alma - RB.m.143(159)"
74459528.txt,"Corsican humbled, or Bonaparte's disasters in Russia - L.C.Fol.74(27)"
74459539.txt,"Defence of Scotland - ABS.10.203.01(30)"
74459555.txt,"Evils of war or, The ruined family - L.C.Fol.178A.2(102)"
74459594.txt,"Hungry army - L.C.fol.178A.2(054)"
74459595.txt,"Irish Brigade in America - L.C.fol.178A.2(068)"
74459671.txt,"Rocks of bonnie Gibraltar - L.C.Fol.70(68b)/L.C.Fol.70(128)"
74459673.txt,"Russian host - L.C.fol.178A.2(079)"
74459674.txt,"Russians are coming, or, The finishing stroke - L.C.Fol.178A.2(113)"
74459680.txt,"Sebastopol fashions - RB.m.169(140)"
74459741.txt,"Tragedy of Sir James the Rose - L.C.Fol.70(50)/L.C.Fol.70(098)"
74459779.txt,"Ye mariners of England - L.C.fol.178A.2(003)"
74459801.txt,"Death of Abercrombie - APS.4.85.10"
74459822.txt,"Scots wha hae/And has she then fail'd in her truth - L.C.Fol.70(47a)/L.C.Fol.70(093)"
74459825.txt,"Susan's adventures - L.C.Fol.70(139)"
74460000.txt,"New song on the dear times - L.C.Fol.178A.2(51)"
74460409.txt,"Plain Answers to Plain Questions - L.C.Fol.74(247)"
74460472.txt,"Battle of Trafalgar - L.C.Fol.178A.2(057)"
74460476.txt,"Camlachie Militia - L.C.Fol.70(097)"
74460857.txt,"Description of the Turks prayers and fasts, before they go to war with the Christians - Ry.III.c.36(22)"
74459905.txt,"Ayr Autumn Circuit - L.C.Fol.73(123)"
74459906.txt,"Account of the trials and sentences of the various prisoners who have stood before the Circuit Court of Justiciary since its opening on Monday last - L.C.Fol.73(100)"
74459907.txt,"Circuit Court : Glasgow, 15th Sept. 1828 - L.C.Fol.73(102)"
74459909.txt,"Trials & sentences of all the different prisoners who have stood their trials at the Circuit Court of Justiciary which opened at Glasgow on Monday the 16th September, 1822, when one young man was sentenced to be executed at Glasgow on Wednesday the 23d of - L.C.Fol.73(38)"
74459912.txt,"Account of the trials and sentences of all the different prisoners who have been tried before the Circuit Court of Justiciary which met at Glasgow on Monday September 15, 1828 - L.C.Fol.73(101)"
74459913.txt,"Particular account of the procedure of the Circuit Court of Justiciary held at Glasgow on Tuesday, Wednesday, and Thursday the 19, 20, 21st of September 1786, giving a particular account of the trial and sentence of the different criminals - APS.4.84.21"
74459915.txt,"Account of the trials of the different criminals, in the Circuit Court of Justiciary at Glasgow, which was opened on Tuesday the 2d of May, 1809 - APS.4.84.19"
