id,key,selfmark,text,title,year
16600,apparitions,L.C.Fol.73(131b),"This report begins: 'Account of a Woman who was buried alive, and who broke open the coffin while they were laying her in the grave, which so frightened the company that they fled in every direction; also, a copy of the interesting Dream which she had in that state. CHELMSFORD, Oct. 4th, 1821.' It was published by William Carse of Glasgow, and probably sold for one penny.
William Carse was one of a number of prominent publishers working out of the Saltmarket area of Glasgow in the early nineteenth century. Along with his two main competitors, John Muir and Thomas Duncan, Carse vied to be the first to issue circuit court lists, last speeches and lamentations. Competition was extremely fierce and, in order to survive, broadside producers had to work fast. The National Library of Scotland's collection includes a wide range of broadsides published by all three men.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'Wonderful',1821
14740,covenanters,L.C.Fol.73(115),"This account begins: 'The Broomlands church has changed its name. A stone has been inserted over the main door, bearing the following inscription: MARTYRS' CHURCH, Erected in 1835, by the Friends of the Church of Scotland.' Printed by Caldwell and Son, and taken from the 'Liberator', this account tells of James Algie and John Park, 'who suffered at the cross of Paisley, on the 3rd of February, 1685'.
This broadside uses stirring rhetoric to recount an incident that occurred around 150 years prior to its publication. Its newsworthiness lies in the renaming of the Broomlands church to the 'Martyrs' Church', and this has been combined with the intriguing and sensationalised story of the two 'noble martyrs', Algie and Park. Whilst the renaming of the church was topical and of interest to some in the 1830s, the printer was guaranteed to sell more copies by including the shocking details of the 'Martyrdom'. The martyrs referred to were Covenanters -  Presyterians who were persecuted during the reign of King Charles II.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'A Short Account of the Martyrdom of James Algie & John Park',1835
15514,clothing,ABS.10.203.01(045),"This public notice begins: 'THE LORD PROVOST and MAGISTRATES, aware of the Anxiety of their Fellow -Citizens to make preparations as Time will permit'. This sheet was issued by the Council-Chambers on the 26th July 1822.
This sheet discusses how citizens should dress on the day that royalty visits. White trousers and waistcoat and a blue jacket are suggested as is a St Andrews emblem worn on the side of the hat. From the context of the piece it seems to refer to George IV's visit to Edinburgh in 1822 - the first royal visit for over 150 years. The tour was stage-managed by Sir Walter Scott, who created a kind of false, romantic Scotland, in the vein of his writing style. It is curious to note that these clothing suggestions are only for men and that the presence of women is not even hinted at.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside regarding suitable attire for Edinburgh citizens to wear when meeting royalty,1822
16548,clothing,RB.m.169(140),"Verse 1: 'Good people now just pray attend for awhile, / And I'll sing you a song that will cause you to smile, / Some curious facts to you I will tell, / But I can?t tell you yet that Sebastopol fell.' The author of the ballad is named on the sheet as George Billinge. The broadside was published by James Lindsay of 9 King Street, Glasgow. It is not dated, but was probably published either between 1852 and 1859, or between 1891 and 1894, when Lindsay is known to have had premises at 9 King Street
'The Sebastopol Fashions' is a song mocking Russian lifestyle. It was probably written as anti-Russian propaganda during the Crimean War (1854-56). France and Britain, declared war in an attempt to prevent Russian expansion, as Russia was seeking to control the Dardanelles and Britain's Mediterranean sea routes. Sebastopol, the Russian-held principal city in the area, was besieged and finally fell to the French and British on 11 September 1855. The intentional irony of 'Sebastopol Fashions' is that as a city under siege, Sebastopol would have experienced terrible hardships and shortages, and life there would have been quite unlike the luxurious picture painted by the song.
Early ballads were dramatic or humorous narrative songs derived from folk culture that predated printing. Originally perpetuated by word of mouth, many ballads survive because they were recorded on broadsides. Musical notation was rarely printed, as tunes were usually established favourites. The term 'ballad' eventually applied more broadly to any kind of topical or popular verse.",Broadside ballad entitled 'The Sebastopol Fashions',1852-1859
15676,clothing,Ry.III.c.36(138),"Following on from the title there is a paragraph in which the 'ladies' express their gratitude to fashion, personified as Mr Fashoner (Fashioner). They say '. . . we cannot but acknowledge your kindness . . . These Hopt Petticoats is a very fine invention . . . They are very Airy and ads to our shaps.' Mr Fashioner replies that he can scarce 'shite them out', meaning he can hardly make enough of them. The first line of the poem underneath runs, 'All the inventions that ever was known'. Above the poem is a woodcut print representing the devil producing hooped petticoats.
Hooped petticoats, or farthingles, became popular in the early eighteenth century. The author of this satire takes a very dim view of them, basically calling them the devil's work. Another broadside, entitled 'The Lady's Answer, to the Sev'ral Little Satyres on the Hoop'd Petticoats' explains why the ladies like their farthingles so much, they'd 'rather chuse these huge unwieldy Tails, / Than the too near Incroachments of the Males'!
Early ballads were dramatic or humorous narrative songs derived from folk culture that predated printing. Originally perpetuated by word of mouth, many ballads survive because they were recorded on broadsides. Musical notation was rarely printed, as tunes were usually established favourites. The term 'ballad' eventually applied more broadly to any kind of topical or popular verse.","Broadside entitled 'A New Proclamation Concerning Farthingles, or Old Mr Fashoner Shiting Hopt-piticoats'",1720-
14942,clothing,L.C.Fol.70(31a),"This ballad begins: 'There's puir wee Johnny Clark, / That Sells the News and Star, / He whistles and he sings, / And he paddles through the glaur'. 'Glaur' is a Scots word used to describe muddy, slippery, and especially icy conditions. The song was published by the Poet's Box of Dundee.
Johnny Clark is a well-liked paperboy, but his appearance is dreadful. He needs a coat, so his mother makes him a jacket out of his father's old one. Unfortunately, it seems Johnny is scruffy by nature, because the thing he is most excited about is the fact that the pockets can hold a pound of potatoes!
The Dundee Poets? Box was in operation from about 1880 to 1945, though it is possible that some material was printed as early as the 1850s. Most of the time it had premises at various addresses in Overgate. In 1885 the proprietor J.G. Scott (at 182 Overgate) had published a catalogue of 2,000 titles consisting of included humorous recitations, dialogues, temperance songs,  medleys, parodies, love songs, Jacobite songs. Another proprietor in the 1880s was William Shepherd, but little is known about him. Poets? Box was particularly busy on market days and feeing days when country folk were in town in large numbers. Macartney specialised in local songs and bothy ballads. Many Irish songs were published by the Poets? Box ? many Irishmen worked seasonally harvesting potatoes and also in the jute mills. In 1906 John Lowden Macartney took over as proprietor of the Poet?s Box, initially working from 181 Overgate and later from no.203 and 207.
It is not clear what the connection between the different Poet?s Boxes were. They almost certainly sold each other?s sheets. It is known that John Sanderson in Edinburgh often wrote to the Leitches in Glasgow for songs and that later his brother Charles obtained copies of songs from the Dundee Poet?s Box. There was also a Poet?s Box in Belfast from 1846 to 1856 at the address of the printer James Moore, and one at Paisley in the early 1850s, owned by William Anderson. 
Early ballads were dramatic or humorous narrative songs derived from folk culture that predated printing. Originally perpetuated by word of mouth, many ballads survive because they were recorded on broadsides. Musical notation was rarely printed, as tunes were usually established favourites. The term 'ballad' eventually applied more broadly to any kind of topical or popular verse.",Broadside ballad entitled 'My Father's Old Coat',1880-1900
14849,clothing,L.C.Fol.178.A.2(085),"This report begins: 'Margaret M'Donald, the subject of the following narrative, was born in 1842, of poor, but respectable parents in this town. When she left she was but 13 years of age, her parents died and left her & an older brother, totally unprovided for. Her brother though 5 years older was but an apprentice tailor, and his scanty wages went but a short way in supporting them'.
'Human interest' stories, sometimes touching or heroic, sometimes farcical or bizarre, were less popular than crime reports but were still carried regularly on broadsides. The example shown here is one of the more bizarre stories. It recounts how Margaret McDonald, an orphan, supported herself by assuming the identity of a boy and going into service with a well-off Edinburgh family. Her true gender was uncovered accidentally at her wedding to another woman, a revelation which, according to the author, afforded 'great mirth' to all the wedding guests, if not to the bride.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'The Life and Strange Adventures of Maragaret M'Donald the Female foot Boy',1870-1880
15604,elegies,Ry.III.c.36(037),"This memorial notice begins: 'Who departed this Life January 20th, 1718. / WHY, why dull Poets of this canker'd Age, / Affright you young Beginners with your Rage?' The elegy begins: 'Why, why dull Poets of this canker'd Age'.
This poem, due to its lack of contextual information, is a little difficult to understand. The only real record of Lucky Gibson left for posterity seems to be this broadside. From some of the scenarios and language used here, it would appear that Lucky kept a 'house of ill-repute'. It is implied that now this service had been withdrawn from the community there would be a vacuum in the leisure market. Surprisingly for broadside literature it is not judgmental in tone.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information often for entertainment, such as memorials and eulogies. Cheaply available, they were sold on the streets by pedlars and chapmen. Although many of the people are now lost to researchers, their stories offer a valuable insight into many aspects of the society they were published in.",Broadside entitled 'An Elegy',1718
16702,cholera,APS.3.96.5,"This verses begins: '[   ]t the times are dull and dreary, / [   ]ry thing goes topsey teary, / [   ] travelling night and day I'm weary, / Through the streets of Glasgow'. 'Morbus' is Latin for 'sickness' or 'disease'. No publication details have been included on this sheet, and, unfortunately, the top left-hand corner is missing.
Although the morbus in this instance appears to be an outbreak of cholera, there are also deep political undertones throughout these verses. Unfortunately, with no date attached to this sheet, it is difficult to determine when it was published. There were several outbreaks of cholera in Glasgow in the nineteenth century, the first of which, in 1832, killed around 3,000 people. As conditions in Glasgow, and the other major towns and cities, were overcrowded and unhygenic, with virtually no sanitation, infectious diseases such as cholera and typhoid had the potential to spread like wildfire.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'Verses on the Report of the Morbus entering Glasgow',1831-
15377,accidents,L.C.Fol.74(113),"This report begins: 'Full, True and Correct Account of the Explosion of the Power Magazine, at Gibraltar, on the 27th of December last, when Eleven Soldiers belonging to the Garrison were blown up 300 feet in the air, with an account of their dreadful and horrid Death, most of them being shattered to pieces, also an account of the number of men bruised and wounded.' The date stated on the sheet is the 27th of December, and a hand-written entry inserted after the printed text identifies the year as 1830. The sheet was published by John Campbell of Edinburgh.
This broadside news account tells of a tragedy involving an explosion at an army camp in the British colony of Gibraltar, which killed 11 soldiers. Most of the story comes from a letter of explanation written by a corporal of the 42nd regiment (known as the Royal Highland Regiment or the Black Watch) to James Bryce in Lanark, father of William, who was one of the deceased soldiers. The corporal's letter is extremely graphic in its description of this dreadful accident, which occurred during gunnery practice.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'Dreadful Death of Eleven Soldiers Belonging to the Artillery',1830
